draw_seq,date,year,month,day,prize_1,prize_2,prize_3,special_1,special_2,special_3,special_4,special_5,special_6,special_7,special_8,special_9,special_10,consol_1,consol_2,consol_3,consol_4,consol_5,consol_6,consol_7,consol_8,consol_9,consol_10
2382,2005-01-01,2005,1,1,4713,5365,3386,8696,2169,4663,5611,2188,316,5175,5778,3577,1080,5703,3267,297,5224,1392,6482,2144,638,7584,5440
2383,2005-01-02,2005,1,2,3623,7678,1643,777,1206,2406,6747,6086,8499,1555,4955,182,5292,9024,1574,7062,1642,2522,4717,8067,9041,7889,4801
2384,2005-01-04,2005,1,4,2130,7107,2905,3348,7256,2444,7987,761,3371,2576,1480,4951,1062,1179,3037,5767,6998,9718,6422,783,4649,3687,7553
2385,2005-01-05,2005,1,5,813,6102,9813,4924,5525,4593,1529,6138,5813,4070,6074,9654,8356,1720,3755,3525,1599,6331,764,2004,5445,9983,8903
2386,2005-01-08,2005,1,8,104,8912,9776,7607,9606,3807,7146,4211,9216,9107,2255,2265,2114,305,8658,6703,1349,7641,6110,3531,1560,5436,4143
2387,2005-01-09,2005,1,9,5388,6909,9185,2207,5007,9742,6234,1778,7950,3817,8914,1936,6091,847,1404,6717,6442,2632,2901,7467,2608,2174,4826
2388,2005-01-12,2005,1,12,4251,4686,3863,1987,8228,2302,4938,4482,9518,1753,7754,2041,4487,6922,1655,9787,1239,6866,694,5745,7476,7386,1579
2389,2005-01-15,2005,1,15,5452,3930,3283,1393,5945,3227,1264,8106,9000,5486,1329,3207,4044,56,5077,4188,7495,4871,5672,7797,9324,7791,6354
2390,2005-01-16,2005,1,16,6506,4084,178,463,1841,8,9010,9054,4991,8798,1630,97,3782,179,9189,5807,3014,1323,3413,6159,1917,8191,1198
2391,2005-01-19,2005,1,19,3640,6787,9698,4437,6280,3437,3757,3827,3344,4612,3138,875,6369,1819,1640,5132,5072,385,7282,7726,6798,6977,5809
2392,2005-01-22,2005,1,22,8397,6635,6678,7425,3704,4320,6994,2438,2845,3679,426,671,7632,8140,4927,9392,2300,1367,4168,8210,1298,351,4395
2393,2005-01-23,2005,1,23,810,8411,3595,609,1581,3597,2492,3588,5868,24,3375,4419,8453,5356,6996,4600,2780,6403,5266,1185,7687,1724,1704
2394,2005-01-25,2005,1,25,9075,2210,4488,774,6948,3062,799,7038,3394,8708,6982,8915,2108,2313,6077,5454,1611,5697,888,1435,6719,8215,8811
2395,2005-01-26,2005,1,26,5775,8368,8148,4996,8833,7426,2207,5155,9944,7889,60,3694,4749,2153,965,2216,3685,6307,4693,1490,6691,7011,3765
2396,2005-01-29,2005,1,29,4610,4531,5059,5177,8494,787,3631,8036,1215,7245,5665,6383,630,305,7620,3382,6071,1260,9943,3334,4487,3255,927
2397,2005-01-30,2005,1,30,7072,4866,3362,1007,8368,4801,386,6195,3777,4866,9246,737,7895,7027,2410,4260,2175,2109,4131,8045,9576,2759,6394
2398,2005-02-01,2005,2,1,3586,8847,6994,8240,3897,9480,6040,4917,3920,8047,794,3793,2056,7143,8270,3284,7143,1177,2643,232,8007,1323,9676
2399,2005-02-02,2005,2,2,7524,8376,5365,293,4646,1135,2311,6173,6703,5376,9964,9773,8493,6427,834,4019,8973,9241,2145,9126,3984,3605,5620
2400,2005-02-05,2005,2,5,276,3355,2655,3928,9593,7031,5872,8502,4881,7348,6571,526,5478,4679,9299,8902,6265,5480,8726,5449,4532,7612,1466
2401,2005-02-06,2005,2,6,4200,9039,439,9353,7394,5563,8617,9688,8890,7463,229,2186,7786,1222,7968,1717,5177,9076,1804,4930,6447,6933,5194
2402,2005-02-09,2005,2,9,1657,5261,216,8018,6896,1492,9988,4053,4962,7055,5783,2156,6042,2884,7078,7656,4527,7043,4798,4060,3087,3941,8775
2403,2005-02-12,2005,2,12,8935,1253,3867,5556,6529,4492,658,7808,6036,9446,2436,6479,6707,2620,471,6069,1975,6084,6527,2803,130,3117,4884
2404,2005-02-13,2005,2,13,7631,4207,9035,8832,9762,2283,7217,2339,6459,1587,7484,9464,8979,1988,222,5081,3977,2856,3868,9871,8381,9781,6332
2405,2005-02-15,2005,2,15,3418,6605,263,561,350,8493,1429,606,983,9524,8256,7899,2604,4627,4180,4801,5354,8378,2155,8607,721,2736,1186
2406,2005-02-16,2005,2,16,7126,4511,5413,9596,315,6445,5822,9892,2353,723,3515,9994,7736,8486,124,1716,2256,6541,5016,2285,1665,3663,9996
2407,2005-02-19,2005,2,19,8832,1910,3816,7318,414,527,7254,6120,5849,747,9441,2176,4162,8798,7594,9833,3434,4720,5283,4583,8970,6657,6897
2408,2005-02-20,2005,2,20,5799,2700,6387,469,8872,3002,9693,1695,636,948,1960,5540,5400,3481,5745,1866,1517,2939,3443,3272,3220,9319,482
2409,2005-02-22,2005,2,22,4472,136,2440,1119,9605,3254,4115,6007,6375,2856,8830,9851,6025,9388,8512,5399,547,2502,7035,5924,3446,9486,4735
2410,2005-02-23,2005,2,23,2692,2763,4172,1805,2365,442,2888,6461,794,3114,6065,9327,6331,3998,7163,513,5517,2835,7285,4170,9391,9428,8149
2411,2005-02-26,2005,2,26,1351,8859,4979,5092,3667,6751,6258,6803,525,9302,4504,6911,3184,5683,9807,3824,3931,2638,721,4347,1168,2205,5239
2412,2005-02-27,2005,2,27,3957,1637,4834,461,417,7948,301,9330,5496,8007,4372,2006,5337,243,1303,6557,4167,3007,7697,36,8550,1632,4442
2413,2005-03-01,2005,3,1,2549,2908,1433,2974,1989,4023,8464,8059,6595,3743,937,8444,2050,2002,5347,7926,8724,2655,3221,3695,6238,302,8448
2414,2005-03-02,2005,3,2,3869,2351,4219,3963,4681,9404,7264,1241,7778,5392,8348,2936,2675,6490,7105,7333,4979,3982,3518,3166,1563,9625,8147
2415,2005-03-05,2005,3,5,9210,3226,7426,4595,1414,8627,5910,3483,7912,8677,1233,2447,1614,2049,6030,4996,7648,7209,8072,8307,2360,9511,5777
2416,2005-03-06,2005,3,6,4510,6652,5759,5659,3281,1679,9053,64,3353,116,3514,6475,8224,2719,1347,7892,9214,3373,358,4844,6580,3112,4243
