draw_seq,date,year,month,day,prize_1,prize_2,prize_3,special_1,special_2,special_3,special_4,special_5,special_6,special_7,special_8,special_9,special_10,consol_1,consol_2,consol_3,consol_4,consol_5,consol_6,consol_7,consol_8,consol_9,consol_10
407,1992-05-06,1992,5,6,19,1124,592,950,2479,7139,3114,4609,7836,8981,4465,6114,5301,,,,,,,,,,
408,1992-05-07,1992,5,7,905,3591,8690,7202,6796,4959,2008,7506,8364,1770,8376,861,7478,,,,,,,,,,
409,1992-05-10,1992,5,10,4162,5766,9514,9309,9344,1573,5077,1037,6498,8325,7203,4754,7849,,,,,,,,,,
410,1992-05-13,1992,5,13,8060,4939,23,4607,7550,3038,5542,6792,1722,5747,6235,6947,1202,,,,,,,,,,
411,1992-05-14,1992,5,14,5371,5472,3489,6872,2455,600,4590,7261,3384,8670,7869,5664,4100,,,,,,,,,,
412,1992-05-17,1992,5,17,6917,9058,689,1337,8176,6711,3979,6195,9340,4421,302,2605,5748,,,,,,,,,,
413,1992-05-20,1992,5,20,1765,7819,7323,4484,194,4250,5873,890,4133,1558,2420,1589,6190,,,,,,,,,,
414,1992-05-21,1992,5,21,9429,4624,8724,7704,3671,4701,4395,2168,3583,4832,7545,9270,9607,,,,,,,,,,
415,1992-05-24,1992,5,24,2719,8619,1121,8176,6265,6792,4738,7083,4193,3013,7757,2923,3087,,,,,,,,,,
416,1992-05-27,1992,5,27,9815,9594,408,8995,9428,6689,4185,5083,1183,55,9180,1507,6691,,,,,,,,,,
417,1992-05-28,1992,5,28,3051,1234,9039,7497,704,162,8296,1305,81,2846,5472,1659,965,,,,,,,,,,
418,1992-05-31,1992,5,31,3876,9285,8726,8746,4867,8341,6204,7663,4042,9559,5573,2298,5513,,,,,,,,,,
419,1992-06-03,1992,6,3,7450,8356,4274,3185,2361,9267,4306,213,8845,1668,19,3443,7990,,,,,,,,,,
420,1992-06-04,1992,6,4,1672,4804,953,9584,8038,5954,4716,189,2866,3293,7385,6122,2307,,,,,,,,,,
421,1992-06-07,1992,6,7,3348,4681,5559,7610,6901,2440,6136,3523,6260,4572,9334,4429,8178,,,,,,,,,,
422,1992-06-10,1992,6,10,8507,3040,5886,5941,981,6218,3388,349,1500,6106,9238,926,7079,,,,,,,,,,
423,1992-06-11,1992,6,11,8200,8500,1925,3921,2593,2992,4583,9848,6373,3380,2762,4195,4944,,,,,,,,,,
424,1992-06-14,1992,6,14,5409,7926,5569,2922,9788,2941,4716,3471,3541,5850,4128,1906,4956,,,,,,,,,,
425,1992-06-17,1992,6,17,6440,7312,2448,7425,1155,5334,5711,2291,1447,3377,920,6309,3541,,,,,,,,,,
426,1992-06-18,1992,6,18,2277,1070,5745,9082,2914,739,3810,4867,4243,4176,213,6582,589,,,,,,,,,,
427,1992-06-21,1992,6,21,8800,6987,8115,2471,6745,4302,4425,8251,6251,3413,6350,7646,7329,,,,,,,,,,
428,1992-06-24,1992,6,24,3722,3697,5286,3061,4255,2335,7944,6032,1995,8683,8875,4432,1529,,,,,,,,,,
429,1992-06-25,1992,6,25,3343,9500,651,8276,1120,76,5832,3517,6652,1798,167,9073,8143,,,,,,,,,,
430,1992-06-28,1992,6,28,1265,3746,9464,1670,6001,9321,881,1882,8191,1951,8796,967,7622,,,,,,,,,,
431,1992-07-01,1992,7,1,3322,2179,164,7595,7148,4196,9435,3341,4095,5083,2832,6767,7930,,,,,,,,,,
432,1992-07-02,1992,7,2,7988,9072,9371,2155,2310,1303,9030,3899,9835,4577,2531,2893,9582,,,,,,,,,,
433,1992-07-05,1992,7,5,2187,8093,6369,9970,4852,7344,5502,3983,3100,6771,7729,1329,9691,,,,,,,,,,
434,1992-07-08,1992,7,8,2747,9184,2972,4357,7839,88,4931,8779,3583,8924,2231,5681,1576,,,,,,,,,,
435,1992-07-09,1992,7,9,7829,3893,5543,331,2362,5447,5682,9100,4280,1118,8226,3093,5580,,,,,,,,,,
436,1992-07-12,1992,7,12,808,3904,6677,884,3336,6824,9665,359,1518,4522,8943,6912,5959,,,,,,,,,,
